source,feed_url,title,link,summary,published,country
The Tech Buzz - Latest Articles,https://www.techbuzz.ai/api/rss/articles,Google's Personal Intelligence Rolls Out to All US Users,https://www.techbuzz.ai/articles/google-s-personal-intelligence-rolls-out-to-all-us-users,"AI assistant taps into Gmail, Photos for personalized responses nationwide",2026-03-17 17:03:50,USA
The Tech Buzz - Latest Articles,https://www.techbuzz.ai/api/rss/articles,OpenAI locks AWS deal to sell AI to U.S. government,https://www.techbuzz.ai/articles/openai-locks-aws-deal-to-sell-ai-to-u-s-government,"OpenAI partners with AWS for classified government work, expanding beyond Pentagon deal",2026-03-17 16:39:15,USA
The Tech Buzz - Latest Articles,https://www.techbuzz.ai/api/rss/articles,"Microsoft Unifies Copilot, Suleyman Leads Superintelligence Push",https://www.techbuzz.ai/articles/microsoft-unifies-copilot-suleyman-leads-superintelligence-push,Jacob Andreou named EVP of unified Copilot as Mustafa Suleyman refocuses on AI models,2026-03-17 16:38:16,USA
The Tech Buzz - Latest Articles,https://www.techbuzz.ai/api/rss/articles,Google Opens Personal Intelligence AI to All US Users,https://www.techbuzz.ai/articles/google-opens-personal-intelligence-ai-to-all-us-users,"Google's Gemini-powered assistant now taps Gmail, Photos for personalized responses",2026-03-17 16:38:15,USA
The Tech Buzz - Latest Articles,https://www.techbuzz.ai/api/rss/articles,Google Expands Personal Intelligence AI Across Search and Gemini,https://www.techbuzz.ai/articles/google-expands-personal-intelligence-ai-across-search-and-gemini,"Google rolls out Personal Intelligence features to AI Mode, Gemini app, and Chrome browser",2026-03-17 16:38:15,USA
The Tech Buzz - Latest Articles,https://www.techbuzz.ai/api/rss/articles,Intel Unleashes Core Ultra 200HX Plus for Gaming Laptops,https://www.techbuzz.ai/articles/intel-unleashes-core-ultra-200hx-plus-for-gaming-laptops,Intel's new flagship Arrow Lake Refresh chips target enthusiast gaming laptops,2026-03-17 16:38:15,USA
The Tech Buzz - Latest Articles,https://www.techbuzz.ai/api/rss/articles,AI Coding Tools Are Rewriting What It Means to Be a Developer,https://www.techbuzz.ai/articles/ai-coding-tools-are-rewriting-what-it-means-to-be-a-developer,Claude Code transforms software development as coders shift from writing to managing AI agents,2026-03-17 16:38:15,USA
The Tech Buzz - Latest Articles,https://www.techbuzz.ai/api/rss/articles,AI's 'Boys Club' Could Widen Wealth Gap for Women,https://www.techbuzz.ai/articles/ai-s-boys-club-could-widen-wealth-gap-for-women,Rana el Kaliouby warns women shut out of AI funding face grim economic future,2026-03-17 16:38:14,USA
AI News & Artificial Intelligence | TechCrunch,https://techcrunch.com/category/artificial-intelligence/feed/,Google’s Personal Intelligence feature is expanding to all US users,https://techcrunch.com/2026/03/17/googles-personal-intelligence-feature-is-expanding-to-all-us-users/,"Personal Intelligence allows Google's AI assistant to tap into your Google ecosystem, such as Gmail and Google Photos, to provide more tailored responses.",2026-03-17 16:00:00,USA
AI News & Artificial Intelligence | TechCrunch,https://techcrunch.com/category/artificial-intelligence/feed/,"OpenAI expands government footprint with AWS deal, report says",https://techcrunch.com/2026/03/17/openai-expands-government-footprint-with-aws-deal/,"OpenAI has reportedly signed a partnership with AWS to sell its AI systems to the U.S. government for classified and unclassified work, marking an expansion beyond its Pentagon deal last month.",2026-03-17 15:37:03,USA
AI News & Artificial Intelligence | TechCrunch,https://techcrunch.com/category/artificial-intelligence/feed/,"AI’s ‘boys’ club’ could widen the wealth gap for women, says Rana el Kaliouby",https://techcrunch.com/2026/03/17/ais-boys-club-could-widen-the-wealth-gap-for-women-says-rana-el-kaliouby/,"AI investor Rana el Kaliouby warns that if women are shut out of AI funding and leadership, the consequences will be grim.",2026-03-17 15:16:21,USA
The Tech Buzz - Latest Articles,https://www.techbuzz.ai/api/rss/articles,Mastercard Snaps Up Stablecoin Startup BVNK for $1.8B,https://www.techbuzz.ai/articles/mastercard-snaps-up-stablecoin-startup-bvnk-for-1-8b,"Mastercard bets $1.8B on stablecoins, acquiring BVNK in crypto's biggest M&amp;A move",2026-03-17 15:15:36,USA
The Tech Buzz - Latest Articles,https://www.techbuzz.ai/api/rss/articles,"Google Drops $10M on AI Training for Doctors, Upgrades Search",https://www.techbuzz.ai/articles/google-drops-10m-on-ai-training-for-doctors-upgrades-search,Google invests in clinician AI education and launches health-focused upgrades,2026-03-17 15:15:36,USA
AI News & Artificial Intelligence | TechCrunch,https://techcrunch.com/category/artificial-intelligence/feed/,World launches tool to verify humans behind AI shopping agents,https://techcrunch.com/2026/03/17/world-launches-tool-to-verify-humans-behind-ai-shopping-agents/,"As AI agents take the reins for online shoppers, Sam Altman's unconventional startup is looking to expand its verification offerings to support agentic commerce.",2026-03-17 15:00:00,USA
AI News & Artificial Intelligence | TechCrunch,https://techcrunch.com/category/artificial-intelligence/feed/,Gamma adds AI image-generation tools in bid to take on Canva and Adobe,https://techcrunch.com/2026/03/17/gamma-adds-ai-image-generation-tools-in-bid-to-take-on-canva-and-adobe/,"The company's new product, called Gamma Imagine, will let users employ text prompts to create brand-specific assets like interactive charts and visualizations, marketing collateral, social graphics, and infographics.",2026-03-17 13:00:00,USA
AI News & Artificial Intelligence | TechCrunch,https://techcrunch.com/category/artificial-intelligence/feed/,Niv-AI exits stealth to wring more power performance out of GPUs,https://techcrunch.com/2026/03/17/niv-ai-exits-stealth-to-wring-more-power-performance-out-of-gpus/,The company raised $12 million in seed funding to measure and manage GPU power surges.,2026-03-17 13:00:00,USA
AI News & Artificial Intelligence | TechCrunch,https://techcrunch.com/category/artificial-intelligence/feed/,Picsart now allows creators to ‘hire’ AI assistants through agent marketplace,https://techcrunch.com/2026/03/16/picsart-now-allows-creators-to-hire-ai-assistants-through-agent-marketplace/,"Picsart's AI agent marketplace will launch with four agents, then add more agents each week.",2026-03-17 04:01:00,USA
AI News & Artificial Intelligence | TechCrunch,https://techcrunch.com/category/artificial-intelligence/feed/,Nvidia’s version of OpenClaw could solve its biggest problem: security,https://techcrunch.com/2026/03/16/nvidias-version-of-openclaw-could-solve-its-biggest-problem-security/,"Nvidia announced an open enterprise AI agent platform, called NemoClaw, that is built off of viral OpenClaw.",2026-03-16 22:45:51,USA
AI News & Artificial Intelligence | TechCrunch,https://techcrunch.com/category/artificial-intelligence/feed/,Jensen Huang just put Nvidia’s Blackwell and Vera Rubin sales projections into the $1 trillion stratosphere,https://techcrunch.com/2026/03/16/jensen-just-put-nvidias-blackwell-and-vera-rubin-sales-projections-into-the-1-trillion-stratosphere/,Nvidia CEO Jensen Huang said he expects $1 trillion worth of orders for the chips.,2026-03-16 21:41:37,USA
AI News & Artificial Intelligence | TechCrunch,https://techcrunch.com/category/artificial-intelligence/feed/,Warren presses Pentagon over decision to grant xAI access to classified networks,https://techcrunch.com/2026/03/16/warren-presses-pentagon-over-decision-to-grant-xai-access-to-classified-networks/,"Sen. Elizabeth Warren noted that Grok, xAI's controversial chatbot, has created harmful outputs for users and poses a potential national security risk.",2026-03-16 20:58:36,USA
AI News & Artificial Intelligence | TechCrunch,https://techcrunch.com/category/artificial-intelligence/feed/,Memories AI is building the visual memory layer for wearables and robotics,https://techcrunch.com/2026/03/16/memories-ai-is-building-the-visual-memory-layer-for-wearables-and-robotics/,Memories.ai is building a large visual memory model that can index and retrieve video-recorded memories for physical AI.,2026-03-16 20:30:00,USA
AI News & Artificial Intelligence | TechCrunch,https://techcrunch.com/category/artificial-intelligence/feed/,Elon Musk’s xAI faces child porn lawsuit from minors Grok allegedly undressed,https://techcrunch.com/2026/03/16/elon-musks-xai-faces-child-porn-lawsuit-from-minors-grok-allegedly-undressed/,The three plaintiffs are seeking to represent anyone who had real images of them as a minor altered into sexual content by Grok.,2026-03-16 19:18:44,USA
AI News & Artificial Intelligence | TechCrunch,https://techcrunch.com/category/artificial-intelligence/feed/,"Nvidia’s DLSS 5 uses generative AI to boost photorealism in video games, with ambitions beyond gaming",https://techcrunch.com/2026/03/16/nvidias-dlss-5-uses-generative-ai-to-boost-photo-realism-in-video-games-with-ambitions-beyond-gaming/,Nvidia’s new DLSS 5 uses generative AI and structured graphics data to make video games more realistic. CEO Jensen Huang says the approach could eventually spread to other industries.,2026-03-16 19:12:19,USA
AI News & Artificial Intelligence | TechCrunch,https://techcrunch.com/category/artificial-intelligence/feed/,How to watch Jensen Huang’s Nvidia GTC 2026 keynote — and what to expect,https://techcrunch.com/2026/03/16/nvidia-gtc-how-to-watch-jensen-huang-2026-keynote/,"GTC is Nvidia's flagship annual event, where the chipmaker typically announces new products, partnerships, and its vision for the future of computing. Huang's keynote will focus on Nvidia's role in the future of computing and AI.",2026-03-16 17:51:46,USA
AI News & Artificial Intelligence | TechCrunch,https://techcrunch.com/category/artificial-intelligence/feed/,Another deep tech chip startup becomes a unicorn: Frore hits $1.64B,https://techcrunch.com/2026/03/16/another-deep-tech-chip-startup-becomes-a-unicorn-frore-hits-1-64b/,"At Nvidia CEO Jensen Huang's urging, Frore developed liquid-cooling tech for chips. That shift helped it raise $143 million.",2026-03-16 17:47:32,USA
AI News & Artificial Intelligence | TechCrunch,https://techcrunch.com/category/artificial-intelligence/feed/,Fuse raises $25M  to disrupt aging loan origination systems used by US credit unions,https://techcrunch.com/2026/03/16/fuse-raises-25m-to-disrupt-aging-loan-origination-systems-used-by-u-s-credit-unions/,"The startup also announced a $5 million ""rescue fund"" to help credit unions ditch legacy software for its AI-native platform.",2026-03-16 17:43:27,USA
The Tech Buzz - Latest Articles,https://www.techbuzz.ai/api/rss/articles,How a Staffing Agency in Houston Can Help Businesses Hire Faster and Smarter,https://www.techbuzz.ai/articles/how-a-staffing-agency-in-houston-can-help-businesses-hire-faster-and-smarter,Streamline your hiring process and secure top talent efficiently.,2026-03-18 06:00:55,USA
ZDNet actualites,https://www.zdnet.fr/feeds/rss/actualites/,"ZDNET Morning 18/03/2026 : Nvidia s'allie aux pépites françaises, Faille : 1 centime pour s'offrir un palace, OpenAI décline GPT-5.4,...",https://www.zdnet.fr/actualites/zdnet-morning-18-03-2026-nvidia-sallie-aux-pepites-francaises-faille-1-centime-pour-soffrir-un-palace-openai-decline-gpt-5-4-492042.htm#xtor=RSS-1,"Le ZDNET Morning le brief de l'actu tech pour les pros tous les matins à 9h00. Transformation numérique, IA, matériel, logiciels,... ne passez pas à côté de ce qui fait la Une du secteur.",2026-03-18 09:03:55,France
ZDNet actualites,https://www.zdnet.fr/feeds/rss/actualites/,Marshall lance la Bromley 450 : une enceinte portable taillée pour l’extérieur,https://www.zdnet.fr/actualites/marshall-lance-la-bromley-450-une-enceinte-portable-taillee-pour-lexterieur-492029.htm#xtor=RSS-1,Une autonomie record et un son à 360° pour les usages nomades.,2026-03-18 09:03:03,France
ZDNet actualites,https://www.zdnet.fr/feeds/rss/actualites/,OpenAI lance GPT-5.4 mini et nano : des performances quasi-haut de gamme à un coût bien moindre,https://www.zdnet.fr/actualites/openai-lance-gpt-5-4-mini-et-nano-des-performances-quasi-haut-de-gamme-a-un-cout-bien-moindre-492026.htm#xtor=RSS-1,"Le tout dernier modèle GPT-5.4 mini offre des résultats de référence étonnamment proches de ceux du modèle GPT-5.4 complet, tout en étant beaucoup plus rapide, ce qui annonce une évolution vers des modèles d'IA plus petits pour les applications concrètes.",2026-03-18 08:03:19,France
ZDNet actualites,https://www.zdnet.fr/feeds/rss/actualites/,"ZD Tech : alerte sur une faille critique des terminaux de paiement, un fraudeur parvient à payer 1 centime pour des nuits à plusieurs milliers d'euros",https://www.zdnet.fr/actualites/zd-tech-alerte-sur-une-faille-critique-des-terminaux-de-paiement-un-fraudeur-parvient-a-payer-1-centime-pour-des-nuits-a-plusieurs-milliers-deuros-491784.htm#xtor=RSS-1,"Un hacker de seulement 20 ans est parvenu à détourner les systèmes de réservation. Mais au-delà de l'anecdote, cette affaire révèle une faille de sécurité critique dans les protocoles de paiement en ligne.",2026-03-18 08:03:06,France
Analytics Vidhya,https://www.analyticsvidhya.com/feed/,ChatGPT vs Claude: The 2026 Battle of the AI Model Families,https://www.analyticsvidhya.com/blog/2026/03/chatgpt-vs-claude/,"<p>If you’ve spent the last year jumping between tabs, you’ve felt it. The gap between ChatGPT vs Claude isn&#8217;t about benchmarks anymore, it’s about identity. We are no longer choosing between &#8220;smart&#8221; and &#8220;smarter.&#8221; We are choosing between a multimodal powerhouse and a faithful reasoning engine. This leaves users choosing between two very different product [&#8230;]</p>
<p>The post <a href=""https://www.analyticsvidhya.com/blog/2026/03/chatgpt-vs-claude/"">ChatGPT vs Claude: The 2026 Battle of the AI Model Families</a> appeared first on <a href=""https://www.analyticsvidhya.com"">Analytics Vidhya</a>.</p>",2026-03-18 07:47:45,India
Intelligence artificielle : Toute l’actualité sur Le Monde.fr.,https://www.lemonde.fr/intelligence-artificielle/rss_full.xml,« Le danger de l’IA militaire réside dans une dilution progressive de la responsabilité »,https://www.lemonde.fr/idees/article/2026/03/18/le-danger-de-l-ia-militaire-reside-dans-une-dilution-progressive-de-la-responsabilite_6672021_3232.html,"Les sociétés ont su fixer des limites lorsque la violence technologique menaçait d’échapper à tout contrôle, rappelle, dans une tribune au « Monde », Ridhwane Allouche, doctorant en droit, qui plaide pour un traité international d’éthique de l’intelligence artificielle dans la guerre.",2026-03-18 05:30:05,France
AI | The Verge,https://www.theverge.com/rss/ai-artificial-intelligence/index.xml,"Nvidia&#8217;s DLSS 5 is like motion smoothing for video games, but worse",https://www.theverge.com/entertainment/896213/nvidia-dlss-5-ai-faces-motion-smoothing,"Yesterday Nvidia revealed its latest upscaling tech, called DLSS 5, which it described as ""the company's most significant breakthrough in computer graphics since the debut of real-time ray tracing in 2018."" Sounds good, until you actually see it. According to Nvidia, the tech ""infuses pixels with photoreal lighting and materials,"" but all anyone seemed to [&#8230;]",2026-03-17 18:00:00,USA
Analytics Vidhya,https://www.analyticsvidhya.com/feed/,Excel 101: COUNT and COUNTIF Functions,https://www.analyticsvidhya.com/blog/2026/03/count-and-countif-functions/,"<p>In our previous article of the Excel 101 series, we learnt all there is about conditional logic and operators in Excel. These operators help massively in functions like IF, AND, OR, etc. However, there is another family of functions that is used massively by Excel users and largely makes use of these operators to yield [&#8230;]</p>
<p>The post <a href=""https://www.analyticsvidhya.com/blog/2026/03/count-and-countif-functions/"">Excel 101: COUNT and COUNTIF Functions</a> appeared first on <a href=""https://www.analyticsvidhya.com"">Analytics Vidhya</a>.</p>",2026-03-17 16:37:46,India
AI | The Verge,https://www.theverge.com/rss/ai-artificial-intelligence/index.xml,Now everyone in the US is getting Google&#8217;s personalized Gemini AI,https://www.theverge.com/ai-artificial-intelligence/896107/google-expands-personal-intelligence,"Google announced on Tuesday that all users in the US will now have access to its Personal Intelligence feature, which lets you connect various Google apps to provide context for Gemini's responses and suggestions. Access was previously limited to Google AI Pro and AI Ultra subscribers. Now, free-tier users in the US can also use [&#8230;]",2026-03-17 16:33:41,USA
AI | The Verge,https://www.theverge.com/rss/ai-artificial-intelligence/index.xml,Microsoft appoints a new Copilot boss after AI leadership shake-up,https://www.theverge.com/news/895963/microsoft-copilot-leadership-changes-consumer-commercial,"Microsoft is doing another executive shuffle today to reorganize how it engineers its Copilot assistant. Different teams have been working on the consumer and commercial sides of Copilot for years, but Microsoft is about to unify parts of them in an effort to create a more cohesive Copilot for businesses and consumers. The changes will [&#8230;]",2026-03-17 15:17:27,USA
AI | The Verge,https://www.theverge.com/rss/ai-artificial-intelligence/index.xml,The future of code is exciting and terrifying,https://www.theverge.com/podcast/895910/claude-code-future-developers-vergecast,"Suddenly it seems like everyone's a coder. Or, at the very least, like they play one in the Claude Code app. But even for the seasoned pros, the act of software development is changing fast - many people are writing less code themselves and instead spending their time managing agents and projects. So what does [&#8230;]",2026-03-17 15:16:47,USA
Intelligence artificielle : Toute l’actualité sur Le Monde.fr.,https://www.lemonde.fr/intelligence-artificielle/rss_full.xml,"« Les Européens ont une version dégradée de l’IA, ce qui ne peut que retarder leur adaptation »",https://www.lemonde.fr/idees/article/2026/03/17/les-europeens-ont-une-version-degradee-de-l-ia-ce-qui-ne-peut-que-retarder-leur-adaptation_6671709_3232.html,"Face à la lame de fond économique de l’intelligence artificielle, Arnaud Leparmentier, dans sa chronique, invite l’Europe à être plus réactive et à ne pas s’enfermer dans la seule incantation de la souveraineté numérique.",2026-03-17 12:00:06,France
ZDNet actualites,https://www.zdnet.fr/feeds/rss/actualites/,"Apple lance l'AirPods Max 2 à 579 €, voici les nouveautés du casque haut de gamme d'Apple",https://www.zdnet.fr/actualites/apple-lance-lairpods-max-2-a-579-e-voici-les-nouveautes-du-casque-haut-de-gamme-dapple-491973.htm#xtor=RSS-1,"L'AirPods Max 2 d'Apple est doté d'une nouvelle puce H2, d'une réduction active du bruit (ANC) améliorée et d'un meilleur son par rapport à son prédécesseur.",2026-03-17 11:03:01,France
ZDNet actualites,https://www.zdnet.fr/feeds/rss/actualites/,"ZDNET Morning 17/03/2026 : Projet Nvidia / Uber, Meta sacrifie 20 % de ses effectifs, Comment je suis passée de 13h à 1h d'écran par jour,...",https://www.zdnet.fr/actualites/zdnet-morning-17-03-2026-projet-nvidia-uber-meta-sacrifie-20-de-ses-effectifs-comment-je-suis-passee-de-13h-a-1h-decran-par-jour-491965.htm#xtor=RSS-1,"Le ZDNET Morning le brief de l'actu tech pour les pros tous les matins à 9h00. Transformation numérique, IA, matériel, logiciels,... ne passez pas à côté de ce qui fait la Une du secteur.",2026-03-17 10:03:49,France
ZDNet actualites,https://www.zdnet.fr/feeds/rss/actualites/,Nvidia et Uber annoncent l'arrivée de flottes de véhicules autonomes dans 28 villes dès 2027,https://www.zdnet.fr/actualites/nvidia-evoque-une-avancee-majeure-pour-les-voitures-autonomes-et-fait-dautres-annonces-cles-en-matiere-dia-491954.htm#xtor=RSS-1,"Voici les progrès concrets en IA que Nvidia affirme réaliser dans les domaines de la robotique, des véhicules autonomes et plus encore.",2026-03-17 09:03:56,France
ZDNet actualites,https://www.zdnet.fr/feeds/rss/actualites/,Guerre en Ukraine : des robots de combat testés sur le champ de bataille,https://www.zdnet.fr/actualites/guerre-en-ukraine-des-robots-de-combat-testes-sur-le-champ-de-bataille-491946.htm#xtor=RSS-1,Une start-up américaine affirme avoir déployé deux robots humanoïdes Phantom MK-1 sur le front ukrainien afin d’évaluer leurs capacités en conditions réelles de combat. Une expérimentation qui illustre l’accélération du développement des technologies militaires autonomes.,2026-03-17 09:03:24,France
ZDNet actualites,https://www.zdnet.fr/feeds/rss/actualites/,"Test Motorola Moto Watch : agréable et simple d’usage, elle laissera sur leur faim les utilisateurs les plus expérimentés",https://www.zdnet.fr/guide-achat/test-motorola-moto-watch-agreable-et-simple-dusage-elle-laissera-sur-leur-faim-les-utilisateurs-les-plus-experimentes-491957.htm#xtor=RSS-1,"Développée avec le spécialiste du suivi d’activités sportives Polar, cette montre est minimaliste, possède un bel écran OLED et dispose d’une très bonne autonomie.",2026-03-17 08:03:54,France
ZDNet actualites,https://www.zdnet.fr/feeds/rss/actualites/,"ZD Tech : vols de voitures, les méthodes tech explosent",https://www.zdnet.fr/actualites/zd-tech-vols-de-voitures-les-methodes-tech-explosent-491678.htm#xtor=RSS-1,"Une nouvelle forme de délinquance électronique, le ""mouse jacking"", rend les effractions physiques presque invisibles : désormais, 70 % des véhicules sont dérobés sans aucun bris de glace ni serrure forcée.",2026-03-17 08:03:43,France
ZDNet actualites,https://www.zdnet.fr/feeds/rss/actualites/,Les administrateurs d’YggTorrent jettent finalement l’éponge,https://www.zdnet.fr/actualites/les-administrateurs-dyggtorrent-jettent-finalement-leponge-491991.htm#xtor=RSS-1,"Le célèbre site de partage de liens de téléchargement voulait se relancer après son piratage. Au vu des difficultés, ses administrateurs ont fini par baisser définitivement le rideau.",2026-03-17 07:03:55,France
